Location,Sampling period,Parameter,Value,Unit,Statistic,Sample matrix,Source table,Notes
Y-1,Summer,Caffeine,60.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,Carbamazepine,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,Ciprofloxacin,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,Diclofenac,25.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,Enrofloxacin,34.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,Estrone,10.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,Gemfibrozil,40.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,Ketoprofen,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,Naproxen,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,Progesterone,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,Sulfamethoxazole,45.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,Testosterone,55.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,Triclosan,20.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,Trimethoprim,50.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,2-hydroxybenzothiazole,590.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Atenolol,62.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Caffeine,70.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Carbamazepine,485.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Ciprofloxacin,160.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Diclofenac,275.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Enrofloxacin,45.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Estrone,1070.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Gemfibrozil,2400.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Ketoprofen,1380.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Naproxen,1650.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Progesterone,185.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Sulfamethoxazole,300.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Testosterone,92.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Triclosan,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Post-monsoon,Trimethoprim,1300.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,2-hydroxybenzothiazole,175.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Atenolol,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Caffeine,190.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Carbamazepine,65.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Ciprofloxacin,265.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Diclofenac,45.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Enrofloxacin,46.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Estrone,160.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Gemfibrozil,230.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Ketoprofen,60.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Naproxen,80.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Progesterone,125.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Sulfamethoxazole,80.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Testosterone,98.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Triclosan,270.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-10,Summer,Trimethoprim,1500.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,2-hydroxybenzothiazole,185.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Atenolol,63.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Caffeine,90.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Carbamazepine,485.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Ciprofloxacin,155.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Diclofenac,280.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Enrofloxacin,37.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Estrone,130.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Gemfibrozil,520.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Ketoprofen,40.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Naproxen,150.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Progesterone,185.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Sulfamethoxazole,300.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Testosterone,92.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Triclosan,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Post-monsoon,Trimethoprim,2900.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,2-hydroxybenzothiazole,50.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Atenolol,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Caffeine,150.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Carbamazepine,55.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Ciprofloxacin,205.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Diclofenac,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Enrofloxacin,40.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Estrone,180.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Gemfibrozil,220.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Ketoprofen,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Naproxen,80.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Progesterone,100.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Sulfamethoxazole,65.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Testosterone,105.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Triclosan,245.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-11,Summer,Trimethoprim,1500.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,2-hydroxybenzothiazole,300.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Atenolol,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Caffeine,350.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Carbamazepine,215.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Ciprofloxacin,182.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Diclofenac,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Enrofloxacin,40.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Estrone,20.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Gemfibrozil,300.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Ketoprofen,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Naproxen,420.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Progesterone,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Sulfamethoxazole,70.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Testosterone,285.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Triclosan,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Post-monsoon,Trimethoprim,2400.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,2-hydroxybenzothiazole,215.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Atenolol,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Caffeine,130.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Carbamazepine,55.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Ciprofloxacin,70.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Diclofenac,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Enrofloxacin,38.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Estrone,90.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Gemfibrozil,50.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Ketoprofen,50.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Naproxen,20.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Progesterone,60.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Sulfamethoxazole,45.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Testosterone,100.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Triclosan,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-12,Summer,Trimethoprim,1500.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,2-hydroxybenzothiazole,135.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Atenolol,103.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Caffeine,1700.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Carbamazepine,130.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Ciprofloxacin,170.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Diclofenac,5.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Enrofloxacin,87.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Estrone,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Gemfibrozil,3000.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Ketoprofen,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Naproxen,500.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Progesterone,125.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Sulfamethoxazole,250.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Testosterone,135.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Triclosan,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Post-monsoon,Trimethoprim,2300.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,2-hydroxybenzothiazole,165.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Atenolol,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Caffeine,160.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Carbamazepine,75.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Ciprofloxacin,65.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Diclofenac,45.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Enrofloxacin,35.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Estrone,120.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Gemfibrozil,140.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Ketoprofen,60.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Naproxen,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Progesterone,50.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Sulfamethoxazole,90.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Testosterone,118.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Triclosan,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-13,Summer,Trimethoprim,5100.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-2,Post-monsoon,2-hydroxybenzothiazole,265.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-2,Post-monsoon,Atenolol,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-2,Post-monsoon,Caffeine,350.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-2,Post-monsoon,Carbamazepine,5.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-2,Post-monsoon,Ciprofloxacin,165.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-2,Post-monsoon,Diclofenac,260.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-2,Post-monsoon,Enrofloxacin,52.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-2,Post-monsoon,Estrone,1750.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-2,Post-monsoon,Gemfibrozil,1650.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
