paper_overview.citation,paper_overview.is_review_paper,paper_overview.study_region,temporal_coverage.sampling_dates,temporal_coverage.granularity,temporal_coverage.time_periods,extraction_notes,row_type,site.id,site.description,site.latitude,site.longitude,site.matrix,site.sample_type,site.source_quote,site.source_location,parameter.id,parameter.name,parameter.name_as_reported,parameter.cas_number,parameter.category,parameter.unit_as_reported,data_source.location,data_source.description,data_source.page
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",site,S11,"Located at the Okhla/Kalindi Bird Sanctuary, surrounded by thickly forested area. Urban industrial and residential location receiving effluents from STPs, various drains and the Hindon canal. The diversion of water to Agra canal leaves the river concentrated with pollutants beyond these locations.",,,river water,grab water samples,"L11 and L12 are located at the Okhla/Kalindi Bird Sanctuary surrounded by thickly forested area. These are urban industrial and residential locations receiving effluents from STPs, various drains and the Hindon canal. The diversion of water to Agra canal leaves the river concentrated with pollutants beyond these locations.","Page 4, Study area and sampling locations section",,,,,,,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",site,S12,"Located at the Okhla/Kalindi Bird Sanctuary, surrounded by thickly forested area. Urban industrial and residential location receiving effluents from STPs, various drains and the Hindon canal. The diversion of water to Agra canal leaves the river concentrated with pollutants beyond these locations.",,,river water,grab water samples,"L11 and L12 are located at the Okhla/Kalindi Bird Sanctuary surrounded by thickly forested area. These are urban industrial and residential locations receiving effluents from STPs, various drains and the Hindon canal. The diversion of water to Agra canal leaves the river concentrated with pollutants beyond these locations.","Page 4, Study area and sampling locations section",,,,,,,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",site,S13,High traffic zone. Receives discharges from the Shahdara outfall drain and agricultural runoff from UP. Urban residential location.,,,river water,grab water samples,L13 lie in a high traffic zone. L14 receive discharges from the Shahdara outfall drain and agricultural runoff from UP. These are urban residential locations.,"Page 4, Study area and sampling locations section",,,,,,,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",site,S14,Receives discharges from the Shahdara outfall drain and agricultural runoff from UP. Urban residential location.,,,river water,grab water samples,L13 lie in a high traffic zone. L14 receive discharges from the Shahdara outfall drain and agricultural runoff from UP. These are urban residential locations.,"Page 4, Study area and sampling locations section",,,,,,,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P1,Sodium,Na,7440-23-5,Major ion,ppm,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P2,Potassium,K,7440-09-7,Major ion,ppm,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P3,Calcium,Ca,7440-70-2,Major ion,ppm,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P4,Magnesium,Mg,7439-95-4,Major ion,ppm,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P5,Iron,Fe,7439-89-6,Heavy metal,ppm,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P6,Aluminum,Al,7429-90-5,Heavy metal,ppb,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P7,Copper,Cu,7440-50-8,Heavy metal,ppb,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P8,Chromium,Cr,7440-47-3,Heavy metal,ppb,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P9,Cobalt,Co,7440-48-4,Heavy metal,ppb,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P10,Cadmium,Cd,7440-43-9,Heavy metal,ppb,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P11,Lead,Pb,7439-92-1,Heavy metal,ppb,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",parameter,,,,,,,,,P12,Manganese,Mn,7439-96-5,Heavy metal,ppb,,,
