Sr No.,Location(actual name not some legend thing),Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
30,Paonta Sahib (PS),,,2022,Post-Monsoon,Nitrate,10.33 ± 0.58,10.33,0.58,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
31,Paonta Sahib (PS),,,2022,Post-Monsoon,Nitrite,0,0.0,,mg/L,"Table 4, page 6","Value reported as 0, standard deviation not provided."
32,Paonta Sahib (PS),,,2022,Post-Monsoon,Ammonia,0.127 ± 0.01,0.127,0.01,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
33,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Temperature,27 ± 1,27.0,1.0,°C,"Table 4, page 6",Mean ± standard deviation as reported in table.
34,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,pH,8.56 ± 0.23,8.56,0.23,,"Table 4, page 6",Mean ± standard deviation as reported in table.
35,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Dissolved Oxygen,3.7 ± 0.26,3.7,0.26,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
36,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Total Dissolved Solids,517.3 ± 6.51,517.3,6.51,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
37,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Water Hardness,175.1 ± 1.39,175.1,1.39,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
38,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Nitrate,0.24 ± 0.02,0.24,0.02,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
39,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Nitrite,0.25 ± 0.01,0.25,0.01,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
40,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Ammonia,0.36 ± 0.13,0.36,0.13,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
41,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Temperature,21 ± 0,21.0,0.0,°C,"Table 4, page 6",Mean ± standard deviation as reported in table.
42,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,pH,7.49 ± 0.04,7.49,0.04,,"Table 4, page 6",Mean ± standard deviation as reported in table.
43,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Dissolved Oxygen,5.24 ± 0.32,5.24,0.32,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
44,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Total Dissolved Solids,215.7 ± 3.58,215.7,3.58,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
45,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Water Hardness,128.2 ± 1.06,128.2,1.06,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
46,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Nitrate,1.05 ± 0.13,1.05,0.13,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
47,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Nitrite,0,0.0,,mg/L,"Table 4, page 6","Value reported as 0, standard deviation not provided."
48,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Ammonia,0.24 ± 0.03,0.24,0.03,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
49,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Temperature,28.7 ± 0.77,28.7,0.77,°C,"Table 4, page 6",Mean ± standard deviation as reported in table.
50,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,pH,7.47 ± 0.06,7.47,0.06,,"Table 4, page 6",Mean ± standard deviation as reported in table.
51,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Dissolved Oxygen,3 ± 0.1,3.0,0.1,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
52,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Total Dissolved Solids,1217 ± 2.85,1217.0,2.85,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
53,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Water Hardness,323.8 ± 1.11,323.8,1.11,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
54,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Nitrate,0.34 ± 0.06,0.34,0.06,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
55,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Nitrite,0.48±0.03,0.48,0.03,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
56,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Ammonia,7.5 ± 0.5,7.5,0.5,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
57,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Temperature,21±0,21.0,0.0,°C,"Table 4, page 6",Mean ± standard deviation as reported in table.
58,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,pH,7.67 ± 0.05,7.67,0.05,,"Table 4, page 6",Mean ± standard deviation as reported in table.
59,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Dissolved Oxygen,3.6 ± 0.1,3.6,0.1,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
60,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Total Dissolved Solids,582.5 ± 1.93,582.5,1.93,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
61,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Water Hardness,164.3 ± 2.03,164.3,2.03,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
62,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Nitrate,1.23 ± 0.26,1.23,0.26,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
63,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Nitrite,0,0.0,,mg/L,"Table 4, page 6","Value reported as 0, standard deviation not provided."
64,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Ammonia,9 ± 1,9.0,1.0,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
65,Prayagraj (PJ),,,2022,Pre-Monsoon,Temperature,24.7 ± 0.58,24.7,0.58,°C,"Table 4, page 6",Mean ± standard deviation as reported in table.
66,Prayagraj (PJ),,,2022,Pre-Monsoon,pH,8.37 ± 0.05,8.37,0.05,,"Table 4, page 6",Mean ± standard deviation as reported in table.
67,Prayagraj (PJ),,,2022,Pre-Monsoon,Dissolved Oxygen,4.17 ± 0.31,4.17,0.31,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
68,Prayagraj (PJ),,,2022,Pre-Monsoon,Total Dissolved Solids,374 ± 4,374.0,4.0,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
69,Prayagraj (PJ),,,2022,Pre-Monsoon,Water Hardness,160.5 ± 2.5,160.5,2.5,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
70,Prayagraj (PJ),,,2022,Pre-Monsoon,Nitrate,9.67 ± 0.57,9.67,0.57,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
71,Prayagraj (PJ),,,2022,Pre-Monsoon,Nitrite,0.11 ± 0.01,0.11,0.01,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
72,Prayagraj (PJ),,,2022,Pre-Monsoon,Ammonia,0.47 ± 0.06,0.47,0.06,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
73,Prayagraj (PJ),,,2022,Post-Monsoon,Temperature,29±0.58,29.0,0.58,°C,"Table 4, page 6",Mean ± standard deviation as reported in table.
74,Prayagraj (PJ),,,2022,Post-Monsoon,pH,7.8 ± 0.1,7.8,0.1,,"Table 4, page 6",Mean ± standard deviation as reported in table.
75,Prayagraj (PJ),,,2022,Post-Monsoon,Dissolved Oxygen,4.8 ± 0.2,4.8,0.2,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
76,Prayagraj (PJ),,,2022,Post-Monsoon,Total Dissolved Solids,153.1 ± 1.04,153.1,1.04,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
77,Prayagraj (PJ),,,2022,Post-Monsoon,Water Hardness,133.7 ± 1.16,133.7,1.16,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
78,Prayagraj (PJ),,,2022,Post-Monsoon,Nitrate,8.35 ± 0.58,8.35,0.58,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
79,Prayagraj (PJ),,,2022,Post-Monsoon,Nitrite,0.09±0.01,0.09,0.01,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
80,Prayagraj (PJ),,,2022,Post-Monsoon,Ammonia,0.53 ± 0.1,0.53,0.1,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
81,Yamunotri (YM),,,2022,Pre-Monsoon,Iron,0.145 ± 0.004,0.145,0.004,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
82,Yamunotri (YM),,,2022,Pre-Monsoon,Manganese,0.0035±0.0005,0.0035,0.0005,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
83,Yamunotri (YM),,,2022,Pre-Monsoon,Copper,0.0058 ± 0.0005,0.0058,0.0005,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
84,Yamunotri (YM),,,2022,Pre-Monsoon,Zinc,0.0959±0.005,0.0959,0.005,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
85,Yamunotri (YM),,,2022,Pre-Monsoon,Cobalt,0.00049±0.0001,0.00049,0.0001,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
86,Yamunotri (YM),,,2022,Pre-Monsoon,Cadmium,0.00008 ± 0.0000058,8e-05,5.8e-06,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
87,Yamunotri (YM),,,2022,Pre-Monsoon,Lead,0.0029±0.0011,0.0029,0.0011,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
88,Yamunotri (YM),,,2022,Pre-Monsoon,Chromium,0.017 ± 0.0007,0.017,0.0007,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
89,Yamunotri (YM),,,2022,Pre-Monsoon,Nickel,0.007 ± 0.00068,0.007,0.00068,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
90,Yamunotri (YM),,,2022,Post-Monsoon,Iron,0.04±0.008,0.04,0.008,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
91,Yamunotri (YM),,,2022,Post-Monsoon,Manganese,0.0019±0.0002,0.0019,0.0002,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
92,Yamunotri (YM),,,2022,Post-Monsoon,Copper,0.0019 ± 0.0007,0.0019,0.0007,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
93,Yamunotri (YM),,,2022,Post-Monsoon,Zinc,0.033 ± 0.003,0.033,0.003,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
94,Yamunotri (YM),,,2022,Post-Monsoon,Cobalt,0.0008 ±0.0002,0.0008,0.0002,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
95,Yamunotri (YM),,,2022,Post-Monsoon,Cadmium,0.00062±0.00011,0.00062,0.00011,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
96,Yamunotri (YM),,,2022,Post-Monsoon,Lead,0.0016±0.0007,0.0016,0.0007,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
97,Yamunotri (YM),,,2022,Post-Monsoon,Chromium,0.0095±0,0.0095,0.0,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
98,Yamunotri (YM),,,2022,Post-Monsoon,Nickel,0.002 ± 0.0005,0.002,0.0005,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
99,Paonta Sahib (PS),,,2022,Pre-Monsoon,Iron,1.17 ± 0.021,1.17,0.021,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
100,Paonta Sahib (PS),,,2022,Pre-Monsoon,Manganese,0.037 ± 0.003,0.037,0.003,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
101,Paonta Sahib (PS),,,2022,Pre-Monsoon,Copper,0.0049 ± 0.00035,0.0049,0.00035,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
102,Paonta Sahib (PS),,,2022,Pre-Monsoon,Zinc,0.0668 ±0.01,0.0668,0.01,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
103,Paonta Sahib (PS),,,2022,Pre-Monsoon,Cobalt,0.001 ± 0.00005,0.001,5e-05,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
104,Paonta Sahib (PS),,,2022,Pre-Monsoon,Cadmium,0.00134±0.000099,0.00134,9.9e-05,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
105,Paonta Sahib (PS),,,2022,Pre-Monsoon,Lead,0.0021 ± 0.00071,0.0021,0.00071,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
106,Paonta Sahib (PS),,,2022,Pre-Monsoon,Chromium,0.04±0.0014,0.04,0.0014,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
107,Paonta Sahib (PS),,,2022,Pre-Monsoon,Nickel,0.0118 ±0.002,0.0118,0.002,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
108,Paonta Sahib (PS),,,2022,Post-Monsoon,Iron,0.428 ± 0.07,0.428,0.07,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
109,Paonta Sahib (PS),,,2022,Post-Monsoon,Manganese,0.031 ± 0.007,0.031,0.007,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
110,Paonta Sahib (PS),,,2022,Post-Monsoon,Copper,0.004 ± 0.00071,0.004,0.00071,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
111,Paonta Sahib (PS),,,2022,Post-Monsoon,Zinc,0.0465 ± 0.007,0.0465,0.007,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
112,Paonta Sahib (PS),,,2022,Post-Monsoon,Cobalt,0.0008 ± 0.0001,0.0008,0.0001,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
113,Paonta Sahib (PS),,,2022,Post-Monsoon,Cadmium,0.0004 ± 0.000035,0.0004,3.5e-05,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
114,Paonta Sahib (PS),,,2022,Post-Monsoon,Lead,0.0006 ± 0.00008,0.0006,8e-05,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
115,Paonta Sahib (PS),,,2022,Post-Monsoon,Chromium,0.0344 ± 0.007,0.0344,0.007,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
116,Paonta Sahib (PS),,,2022,Post-Monsoon,Nickel,0.006 ± 0.0006,0.006,0.0006,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
117,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Iron,1.79 ± 0.126,1.79,0.126,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
118,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Manganese,0.259±0.015,0.259,0.015,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
119,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Copper,0.0077 ± 0.003,0.0077,0.003,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
120,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Zinc,0.049 ± 0.0058,0.049,0.0058,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
121,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Cobalt,0.00153 ± 0.0003,0.00153,0.0003,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
122,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Cadmium,0.00034±0.0000651,0.00034,6.51e-05,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
123,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Lead,0.0597±0.0036,0.0597,0.0036,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
124,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Chromium,0.016±0.0025,0.016,0.0025,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
125,Wazirabad Before Drain (WBBD),,,2022,Pre-Monsoon,Nickel,0.0167±0.0042,0.0167,0.0042,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
126,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Iron,0.68±0.066,0.68,0.066,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
127,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Manganese,0.099±0.004,0.099,0.004,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
128,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Copper,0.0044 ±0.0017,0.0044,0.0017,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
129,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Zinc,0.0826 ±0.01,0.0826,0.01,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
130,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Cobalt,0.00807±0.0012,0.00807,0.0012,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
131,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Cadmium,0.0008 ± 0.00004,0.0008,4e-05,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
132,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Lead,0.0117 ± 0.0005,0.0117,0.0005,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
133,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Chromium,0.013 ± 0.0058,0.013,0.0058,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
134,Wazirabad Before Drain (WBBD),,,2022,Post-Monsoon,Nickel,0.0118 ± 0.00058,0.0118,0.00058,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
135,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Iron,2.73±0.218,2.73,0.218,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
136,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Manganese,0.319±0.015,0.319,0.015,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
137,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Copper,0.1139±0.011,0.1139,0.011,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
138,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Zinc,0.347±0.0252,0.347,0.0252,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
139,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Cobalt,0.00684±0.0014,0.00684,0.0014,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
140,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Cadmium,0.00072 ± 0.00016,0.00072,0.00016,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
141,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Lead,0.0842 ± 0.00058,0.0842,0.00058,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
142,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Chromium,0.225 ± 0.0061,0.225,0.0061,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
143,Wazirabad After Drain (WBAD),,,2022,Pre-Monsoon,Nickel,0.0889±0.0036,0.0889,0.0036,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
144,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Iron,1.173 ± 0.15,1.173,0.15,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
145,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Manganese,0.248 ± 0.027,0.248,0.027,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
146,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Copper,0.2419 ± 0.011,0.2419,0.011,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
147,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Zinc,0.223 ±0.026,0.223,0.026,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
148,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Cobalt,0.01063±0.0008,0.01063,0.0008,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
149,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Cadmium,0.000483±0.00008,0.000483,8e-05,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
150,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Lead,0.0201 ± 0.0051,0.0201,0.0051,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
151,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Chromium,0.07263±0.01,0.07263,0.01,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
152,Wazirabad After Drain (WBAD),,,2022,Post-Monsoon,Nickel,0.0306 ± 0.0072,0.0306,0.0072,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
153,Prayagraj (PJ),,,2022,Pre-Monsoon,Iron,0.85 ± 0.029,0.85,0.029,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
154,Prayagraj (PJ),,,2022,Pre-Monsoon,Manganese,0.129 ± 0.012,0.129,0.012,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
155,Prayagraj (PJ),,,2022,Pre-Monsoon,Copper,0.0085 ± 0.0012,0.0085,0.0012,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
156,Prayagraj (PJ),,,2022,Pre-Monsoon,Zinc,0.102 ±0.0058,0.102,0.0058,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
157,Prayagraj (PJ),,,2022,Pre-Monsoon,Cobalt,0.00087 ± 0.0001,0.00087,0.0001,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
158,Prayagraj (PJ),,,2022,Pre-Monsoon,Cadmium,0.0021 ± 0.00014,0.0021,0.00014,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
159,Prayagraj (PJ),,,2022,Pre-Monsoon,Lead,0.0601 ± 0.005012,0.0601,0.005012,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
160,Prayagraj (PJ),,,2022,Pre-Monsoon,Chromium,0.25994 ± 0.01,0.25994,0.01,mg/L,"Table 6, page 10",Mean ± standard deviation as reported in table.
