site_id,parameter_id,time_period,raw_value,mean_value,std_dev,min_value,max_value,n_observations,aggregation_level,limit_qualifier,detection_limit,unit,original_source_citation,source_location,source_quote,extraction_issues
S17,BOD,non_monsoon_2022,106,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S17 BOD=106 mg/L,none
S18,BOD,non_monsoon_2022,130,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S18 BOD=130 mg/L,none
S19,BOD,non_monsoon_2022,108,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S19 BOD=108 mg/L,none
S20,BOD,non_monsoon_2022,118,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S20 BOD=118 mg/L,none
S21,BOD,non_monsoon_2022,188,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S21 BOD=188 mg/L,none
S22,BOD,non_monsoon_2022,180,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S22 BOD=180 mg/L,none
S23,BOD,non_monsoon_2022,68,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S23 BOD=68 mg/L,none
S24,BOD,non_monsoon_2022,105,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S24 BOD=105 mg/L,none
S25,BOD,non_monsoon_2022,200,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S25 BOD=200 mg/L,none
S26,BOD,non_monsoon_2022,235,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S26 BOD=235 mg/L,none
S27,BOD,non_monsoon_2022,92,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S27 BOD=92 mg/L,none
S28,BOD,non_monsoon_2022,63,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S28 BOD=63 mg/L,none
S29,BOD,non_monsoon_2022,175,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S29 BOD=175 mg/L,none
S30,BOD,non_monsoon_2022,148,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S30 BOD=148 mg/L,none
S31,BOD,non_monsoon_2022,188,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S31 BOD=188 mg/L,none
S32,BOD,non_monsoon_2022,170,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S32 BOD=170 mg/L,none
S33,BOD,non_monsoon_2022,102,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S33 BOD=102 mg/L,none
S34,BOD,non_monsoon_2022,167,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S34 BOD=167 mg/L,none
S35,BOD,non_monsoon_2022,112,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S35 BOD=112 mg/L,none
S36,BOD,non_monsoon_2022,430,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S36 BOD=430 mg/L,none
S37,BOD,non_monsoon_2022,37,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S37 BOD=37 mg/L,none
S38,BOD,non_monsoon_2022,91,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S38 BOD=91 mg/L,none
S39,BOD,non_monsoon_2022,134,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S39 BOD=134 mg/L,none
S40,BOD,non_monsoon_2022,175,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S40 BOD=175 mg/L,none
S41,BOD,non_monsoon_2022,138,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S41 BOD=138 mg/L,none
S42,BOD,non_monsoon_2022,104,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S42 BOD=104 mg/L,none
S43,BOD,non_monsoon_2022,139,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S43 BOD=139 mg/L,none
