measurement_id,paper_citation,original_source_citation,source_location,site_description,latitude,longitude,parameter_name,cas_number,category,matrix,sample_type,time_period,time_granularity,raw_value,mean_value,std_dev,min_value,max_value,n_observations,aggregation_level,limit_qualifier,detection_limit,unit,notes
40,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Yamunotri (YM), Uttarakhand (UK)",30.975833,78.438333,Nitrate,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,4.67,0.58,,,,site-season mean,,,mg/L,source_quote: 4.67 ± 0.58
48,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Paonta Sahib (PS), Himachal Pradesh (HP)",30.43,77.6275,Nitrate,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,8.83,0.77,,,,site-season mean,,,mg/L,source_quote: 8.83 ± 0.77
56,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Paonta Sahib (PS), Himachal Pradesh (HP)",30.43,77.6275,Nitrate,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,10.33,0.58,,,,site-season mean,,,mg/L,source_quote: 10.33 ± 0.58
64,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Wazirabad Before Drain (WBBD), Delhi",28.708889,77.230556,Nitrate,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,0.24,0.02,,,,site-season mean,,,mg/L,source_quote: 0.24 ± 0.02
72,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Wazirabad Before Drain (WBBD), Delhi",28.708889,77.230556,Nitrate,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,1.05,0.13,,,,site-season mean,,,mg/L,source_quote: 1.05 ± 0.13
80,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Wazirabad After Drain (WBAD), Delhi",28.663333,77.24,Nitrate,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,0.34,0.06,,,,site-season mean,,,mg/L,source_quote: 0.34 ± 0.06
88,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Wazirabad After Drain (WBAD), Delhi",28.663333,77.24,Nitrate,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,1.23,0.26,,,,site-season mean,,,mg/L,source_quote: 1.23 ± 0.26
96,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Prayagraj (PJ), Uttar Pradesh (UP)",25.428333,81.861667,Nitrate,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,9.67,0.57,,,,site-season mean,,,mg/L,source_quote: 9.67 ± 0.57
104,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Prayagraj (PJ), Uttar Pradesh (UP)",25.428333,81.861667,Nitrate,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,8.35,0.58,,,,site-season mean,,,mg/L,source_quote: 8.35 ± 0.58
33,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Yamunotri (YM), Uttarakhand (UK)",30.975833,78.438333,Nitrite,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,0.0,,,,,,site-season mean,,,mg/L,source_quote: 0
41,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Yamunotri (YM), Uttarakhand (UK)",30.975833,78.438333,Nitrite,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,0.0,,,,,,site-season mean,,,mg/L,source_quote: 0
49,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Paonta Sahib (PS), Himachal Pradesh (HP)",30.43,77.6275,Nitrite,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,0.0,,,,,,site-season mean,,,mg/L,source_quote: 0
57,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Paonta Sahib (PS), Himachal Pradesh (HP)",30.43,77.6275,Nitrite,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,0.0,,,,,,site-season mean,,,mg/L,source_quote: 0
65,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Wazirabad Before Drain (WBBD), Delhi",28.708889,77.230556,Nitrite,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,0.25,0.01,,,,site-season mean,,,mg/L,source_quote: 0.25 ± 0.01
73,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Wazirabad Before Drain (WBBD), Delhi",28.708889,77.230556,Nitrite,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,0.0,,,,,,site-season mean,,,mg/L,source_quote: 0
