Sr No.,Location,Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
44,"Upstream, Wazirabad",,June,,,NO3,2.22,,,mg/L,Water Quality Timeseries,
45,"Upstream, Wazirabad",,June,,,TOC,4.45,,,mg/L,Water Quality Timeseries,
46,"Upstream, Wazirabad",,June,,,TSS,10.99,,,mg/L,Water Quality Timeseries,
47,"Upstream, Wazirabad",,June,,,pH,7.36,,,,Water Quality Timeseries,
48,"Upstream, Wazirabad",,June,,,Temp,33.9,,,°C,Water Quality Timeseries,
49,"Upstream, Wazirabad",,June,,,NH4,0.87,,,mg/L,Water Quality Timeseries,
50,"Upstream, Wazirabad",,June,,,Turbidity,15.5,,,NTU,Water Quality Timeseries,
51,"Upstream, Wazirabad",,June,,,BOD,6.65,,,mg/L,Water Quality Timeseries,
52,"Upstream, Wazirabad",,June,,,COD,18.88,,,mg/L,Water Quality Timeseries,
53,"Upstream, Wazirabad",,July,,,DO,6.65,,,mg/L,Water Quality Timeseries,
54,"Upstream, Wazirabad",,July,,,Conductivity,384.8,,,µS/cm,Water Quality Timeseries,
55,"Upstream, Wazirabad",,July,,,NO3,1.47,,,mg/L,Water Quality Timeseries,
56,"Upstream, Wazirabad",,July,,,TOC,8.3,,,mg/L,Water Quality Timeseries,
57,"Upstream, Wazirabad",,July,,,TSS,29.05,,,mg/L,Water Quality Timeseries,
58,"Upstream, Wazirabad",,July,,,pH,7.17,,,,Water Quality Timeseries,
59,"Upstream, Wazirabad",,July,,,Temp,30.55,,,°C,Water Quality Timeseries,
60,"Upstream, Wazirabad",,July,,,NH4,0.3,,,mg/L,Water Quality Timeseries,
61,"Upstream, Wazirabad",,July,,,Turbidity,61.26,,,NTU,Water Quality Timeseries,
62,"Upstream, Wazirabad",,July,,,BOD,3.4,,,mg/L,Water Quality Timeseries,
63,"Upstream, Wazirabad",,July,,,COD,33.05,,,mg/L,Water Quality Timeseries,
64,"Upstream, Wazirabad",,August,,,DO,6.34,,,mg/L,Water Quality Timeseries,
65,"Upstream, Wazirabad",,August,,,Conductivity,351.35,,,µS/cm,Water Quality Timeseries,
66,"Upstream, Wazirabad",,August,,,NO3,3.69,,,mg/L,Water Quality Timeseries,
67,"Upstream, Wazirabad",,August,,,TOC,1.44,,,mg/L,Water Quality Timeseries,
68,"Upstream, Wazirabad",,August,,,TSS,33.64,,,mg/L,Water Quality Timeseries,
69,"Upstream, Wazirabad",,August,,,pH,7.14,,,,Water Quality Timeseries,
70,"Upstream, Wazirabad",,August,,,Temp,30.57,,,°C,Water Quality Timeseries,
71,"Upstream, Wazirabad",,August,,,NH4,0.82,,,mg/L,Water Quality Timeseries,
72,"Upstream, Wazirabad",,August,,,Turbidity,96.67,,,NTU,Water Quality Timeseries,
73,"Upstream, Wazirabad",,August,,,BOD,2.32,,,mg/L,Water Quality Timeseries,
74,"Upstream, Wazirabad",,August,,,COD,8.15,,,mg/L,Water Quality Timeseries,
75,"Upstream, Wazirabad",,September,,,DO,8.34,,,mg/L,Water Quality Timeseries,
76,"Upstream, Wazirabad",,September,,,Conductivity,471.23,,,µS/cm,Water Quality Timeseries,
77,"Upstream, Wazirabad",,September,,,NO3,3.55,,,mg/L,Water Quality Timeseries,
78,"Upstream, Wazirabad",,September,,,TOC,2.69,,,mg/L,Water Quality Timeseries,
79,"Upstream, Wazirabad",,September,,,TSS,44.62,,,mg/L,Water Quality Timeseries,
80,"Upstream, Wazirabad",,September,,,pH,7.36,,,,Water Quality Timeseries,
81,"Upstream, Wazirabad",,September,,,Temp,28.94,,,°C,Water Quality Timeseries,
82,"Upstream, Wazirabad",,September,,,NH4,0.09,,,mg/L,Water Quality Timeseries,
83,"Upstream, Wazirabad",,September,,,Turbidity,733.88,,,NTU,Water Quality Timeseries,
84,"Upstream, Wazirabad",,September,,,BOD,3.19,,,mg/L,Water Quality Timeseries,
85,"Upstream, Wazirabad",,September,,,COD,10.23,,,mg/L,Water Quality Timeseries,
86,"Upstream, Wazirabad",,October,,,DO,7.91,,,mg/L,Water Quality Timeseries,
87,"Upstream, Wazirabad",,October,,,Conductivity,380.33,,,µS/cm,Water Quality Timeseries,
88,"Upstream, Wazirabad",,October,,,NO3,2.98,,,mg/L,Water Quality Timeseries,
89,"Upstream, Wazirabad",,October,,,TOC,2.56,,,mg/L,Water Quality Timeseries,
90,"Upstream, Wazirabad",,October,,,TSS,29.99,,,mg/L,Water Quality Timeseries,
91,"Upstream, Wazirabad",,October,,,pH,7.42,,,,Water Quality Timeseries,
92,"Upstream, Wazirabad",,October,,,Temp,26.82,,,°C,Water Quality Timeseries,
93,"Upstream, Wazirabad",,October,,,NH4,0.02,,,mg/L,Water Quality Timeseries,
94,"Upstream, Wazirabad",,October,,,Turbidity,312.01,,,NTU,Water Quality Timeseries,
95,"Upstream, Wazirabad",,October,,,BOD,3.53,,,mg/L,Water Quality Timeseries,
96,"Upstream, Wazirabad",,October,,,COD,23.9,,,mg/L,Water Quality Timeseries,
97,"Upstream, Wazirabad",,November,,,DO,11.7,,,mg/L,Water Quality Timeseries,
98,"Upstream, Wazirabad",,November,,,Conductivity,485.21,,,µS/cm,Water Quality Timeseries,
99,"Upstream, Wazirabad",,November,,,NO3,2.3,,,mg/L,Water Quality Timeseries,
100,"Upstream, Wazirabad",,November,,,TOC,6.37,,,mg/L,Water Quality Timeseries,
101,"Upstream, Wazirabad",,November,,,TSS,31.21,,,mg/L,Water Quality Timeseries,
102,"Upstream, Wazirabad",,November,,,pH,7.52,,,,Water Quality Timeseries,
103,"Upstream, Wazirabad",,November,,,Temp,20.12,,,°C,Water Quality Timeseries,
104,"Upstream, Wazirabad",,November,,,NH4,0.19,,,mg/L,Water Quality Timeseries,
105,"Upstream, Wazirabad",,November,,,Turbidity,219.49,,,NTU,Water Quality Timeseries,
106,"Upstream, Wazirabad",,November,,,BOD,3.58,,,mg/L,Water Quality Timeseries,
107,"Upstream, Wazirabad",,November,,,COD,31.22,,,mg/L,Water Quality Timeseries,
108,"Upstream, Wazirabad",,December,,,DO,12.84,,,mg/L,Water Quality Timeseries,
109,"Upstream, Wazirabad",,December,,,Conductivity,817.54,,,µS/cm,Water Quality Timeseries,
110,"Upstream, Wazirabad",,December,,,NO3,2.13,,,mg/L,Water Quality Timeseries,
111,"Upstream, Wazirabad",,December,,,TOC,10.22,,,mg/L,Water Quality Timeseries,
112,"Upstream, Wazirabad",,December,,,TSS,32.73,,,mg/L,Water Quality Timeseries,
113,"Upstream, Wazirabad",,December,,,pH,7.26,,,,Water Quality Timeseries,
114,"Upstream, Wazirabad",,December,,,Temp,16.25,,,°C,Water Quality Timeseries,
115,"Upstream, Wazirabad",,December,,,NH4,0.55,,,mg/L,Water Quality Timeseries,
116,"Upstream, Wazirabad",,December,,,Turbidity,197.95,,,NTU,Water Quality Timeseries,
117,"Upstream, Wazirabad",,December,,,BOD,3.02,,,mg/L,Water Quality Timeseries,
118,"Upstream, Wazirabad",,December,,,COD,41.08,,,mg/L,Water Quality Timeseries,
119,"Upstream, Wazirabad",,January,,,DO,10.7,,,mg/L,Water Quality Timeseries,
120,"Upstream, Wazirabad",,January,,,Conductivity,694.05,,,µS/cm,Water Quality Timeseries,
121,"Upstream, Wazirabad",,January,,,NO3,2.13,,,mg/L,Water Quality Timeseries,
122,"Upstream, Wazirabad",,January,,,TOC,7.89,,,mg/L,Water Quality Timeseries,
123,"Upstream, Wazirabad",,January,,,TSS,23.73,,,mg/L,Water Quality Timeseries,
124,"Upstream, Wazirabad",,January,,,pH,7.22,,,,Water Quality Timeseries,
125,"Upstream, Wazirabad",,January,,,Temp,13.99,,,°C,Water Quality Timeseries,
126,"Upstream, Wazirabad",,January,,,NH4,0.65,,,mg/L,Water Quality Timeseries,
127,"Upstream, Wazirabad",,January,,,Turbidity,142.4,,,NTU,Water Quality Timeseries,
128,"Upstream, Wazirabad",,January,,,BOD,2.48,,,mg/L,Water Quality Timeseries,
129,"Upstream, Wazirabad",,January,,,COD,32.77,,,mg/L,Water Quality Timeseries,
130,"Upstream, Wazirabad",,February,,,DO,11.87,,,mg/L,Water Quality Timeseries,
131,"Upstream, Wazirabad",,February,,,Conductivity,558.2,,,µS/cm,Water Quality Timeseries,
132,"Upstream, Wazirabad",,February,,,NO3,1.84,,,mg/L,Water Quality Timeseries,
133,"Upstream, Wazirabad",,February,,,TOC,6.49,,,mg/L,Water Quality Timeseries,
134,"Upstream, Wazirabad",,February,,,TSS,21.61,,,mg/L,Water Quality Timeseries,
135,"Upstream, Wazirabad",,February,,,pH,7.79,,,,Water Quality Timeseries,
136,"Upstream, Wazirabad",,February,,,Temp,17.4,,,°C,Water Quality Timeseries,
137,"Upstream, Wazirabad",,February,,,NH4,0.64,,,mg/L,Water Quality Timeseries,
138,"Upstream, Wazirabad",,February,,,Turbidity,127.45,,,NTU,Water Quality Timeseries,
139,"Upstream, Wazirabad",,February,,,BOD,3.45,,,mg/L,Water Quality Timeseries,
140,"Upstream, Wazirabad",,February,,,COD,26,,,mg/L,Water Quality Timeseries,
141,"Downstream, Okhla",,March,,,DO,3.88,,,mg/L,Water Quality Timeseries,
142,"Downstream, Okhla",,March,,,Conductivity,1575.1,,,µS/cm,Water Quality Timeseries,
143,"Downstream, Okhla",,March,,,NO3,1.07,,,mg/L,Water Quality Timeseries,
144,"Downstream, Okhla",,March,,,TOC,47.49,,,mg/L,Water Quality Timeseries,
145,"Downstream, Okhla",,March,,,TSS,63.3,,,mg/L,Water Quality Timeseries,
146,"Downstream, Okhla",,March,,,pH,7.33,,,,Water Quality Timeseries,
147,"Downstream, Okhla",,March,,,Temp,23.37,,,°C,Water Quality Timeseries,
148,"Downstream, Okhla",,March,,,NH4,17.65,,,mg/L,Water Quality Timeseries,
149,"Downstream, Okhla",,March,,,Turbidity,68.9,,,NTU,Water Quality Timeseries,
150,"Downstream, Okhla",,March,,,BOD,23.23,,,mg/L,Water Quality Timeseries,
151,"Downstream, Okhla",,March,,,COD,93.02,,,mg/L,Water Quality Timeseries,
152,"Downstream, Okhla",,April,,,DO,2.55,,,mg/L,Water Quality Timeseries,
153,"Downstream, Okhla",,April,,,Conductivity,1406.6,,,µS/cm,Water Quality Timeseries,
154,"Downstream, Okhla",,April,,,NO3,1.5,,,mg/L,Water Quality Timeseries,
155,"Downstream, Okhla",,April,,,TOC,47.5,,,mg/L,Water Quality Timeseries,
156,"Downstream, Okhla",,April,,,TSS,43.87,,,mg/L,Water Quality Timeseries,
157,"Downstream, Okhla",,April,,,pH,7.28,,,,Water Quality Timeseries,
158,"Downstream, Okhla",,April,,,Temp,23.56,,,°C,Water Quality Timeseries,
159,"Downstream, Okhla",,April,,,NH4,59.13,,,mg/L,Water Quality Timeseries,
160,"Downstream, Okhla",,April,,,Turbidity,18.68,,,NTU,Water Quality Timeseries,
161,"Downstream, Okhla",,April,,,BOD,11.97,,,mg/L,Water Quality Timeseries,
162,"Downstream, Okhla",,April,,,COD,76.23,,,mg/L,Water Quality Timeseries,
163,"Downstream, Okhla",,May,,,DO,1.62,,,mg/L,Water Quality Timeseries,
164,"Downstream, Okhla",,May,,,Conductivity,1494.7,,,µS/cm,Water Quality Timeseries,
165,"Downstream, Okhla",,May,,,NO3,1.24,,,mg/L,Water Quality Timeseries,
166,"Downstream, Okhla",,May,,,TOC,76.8,,,mg/L,Water Quality Timeseries,
167,"Downstream, Okhla",,May,,,TSS,147.5,,,mg/L,Water Quality Timeseries,
168,"Downstream, Okhla",,May,,,pH,7.97,,,,Water Quality Timeseries,
169,"Downstream, Okhla",,May,,,Temp,27.92,,,°C,Water Quality Timeseries,
170,"Downstream, Okhla",,May,,,NH4,10.93,,,mg/L,Water Quality Timeseries,
171,"Downstream, Okhla",,May,,,Turbidity,47.5,,,NTU,Water Quality Timeseries,
172,"Downstream, Okhla",,May,,,BOD,5.61,,,mg/L,Water Quality Timeseries,
173,"Downstream, Okhla",,May,,,COD,143.44,,,mg/L,Water Quality Timeseries,
174,"Downstream, Okhla",,June,,,DO,5.23,,,mg/L,Water Quality Timeseries,
175,"Downstream, Okhla",,June,,,Conductivity,1251.6,,,µS/cm,Water Quality Timeseries,
176,"Downstream, Okhla",,June,,,NO3,0.79,,,mg/L,Water Quality Timeseries,
177,"Downstream, Okhla",,June,,,TOC,34.87,,,mg/L,Water Quality Timeseries,
178,"Downstream, Okhla",,June,,,TSS,30.68,,,mg/L,Water Quality Timeseries,
179,"Downstream, Okhla",,June,,,pH,7.27,,,,Water Quality Timeseries,
180,"Downstream, Okhla",,June,,,Temp,30.06,,,°C,Water Quality Timeseries,
181,"Downstream, Okhla",,June,,,NH4,17.38,,,mg/L,Water Quality Timeseries,
182,"Downstream, Okhla",,June,,,Turbidity,8.8,,,NTU,Water Quality Timeseries,
183,"Downstream, Okhla",,June,,,BOD,9.74,,,mg/L,Water Quality Timeseries,
184,"Downstream, Okhla",,June,,,COD,51.13,,,mg/L,Water Quality Timeseries,
185,"Downstream, Okhla",,July,,,DO,4.55,,,mg/L,Water Quality Timeseries,
186,"Downstream, Okhla",,July,,,Conductivity,871.87,,,µS/cm,Water Quality Timeseries,
187,"Downstream, Okhla",,July,,,NO3,0.74,,,mg/L,Water Quality Timeseries,
188,"Downstream, Okhla",,July,,,TOC,93.04,,,mg/L,Water Quality Timeseries,
189,"Downstream, Okhla",,July,,,TSS,138.64,,,mg/L,Water Quality Timeseries,
190,"Downstream, Okhla",,July,,,pH,7.47,,,,Water Quality Timeseries,
191,"Downstream, Okhla",,July,,,Temp,29.06,,,°C,Water Quality Timeseries,
192,"Downstream, Okhla",,July,,,NH4,10.84,,,mg/L,Water Quality Timeseries,
193,"Downstream, Okhla",,July,,,Turbidity,39.9,,,NTU,Water Quality Timeseries,
194,"Downstream, Okhla",,July,,,BOD,16,,,mg/L,Water Quality Timeseries,
195,"Downstream, Okhla",,July,,,COD,157.02,,,mg/L,Water Quality Timeseries,
196,"Downstream, Okhla",,August,,,DO,4.76,,,mg/L,Water Quality Timeseries,
197,"Downstream, Okhla",,August,,,Conductivity,912.19,,,µS/cm,Water Quality Timeseries,
198,"Downstream, Okhla",,August,,,NO3,0.68,,,mg/L,Water Quality Timeseries,
199,"Downstream, Okhla",,August,,,TOC,89.72,,,mg/L,Water Quality Timeseries,
200,"Downstream, Okhla",,August,,,TSS,128.83,,,mg/L,Water Quality Timeseries,
201,"Downstream, Okhla",,August,,,pH,7,,,,Water Quality Timeseries,
202,"Downstream, Okhla",,August,,,Temp,30.4,,,°C,Water Quality Timeseries,
203,"Downstream, Okhla",,August,,,NH4,9.45,,,mg/L,Water Quality Timeseries,
204,"Downstream, Okhla",,August,,,Turbidity,38.5,,,NTU,Water Quality Timeseries,
205,"Downstream, Okhla",,August,,,BOD,15.67,,,mg/L,Water Quality Timeseries,
206,"Downstream, Okhla",,August,,,COD,157.02,,,mg/L,Water Quality Timeseries,
207,"Downstream, Okhla",,September,,,DO,4.98,,,mg/L,Water Quality Timeseries,
208,"Downstream, Okhla",,September,,,Conductivity,841.3,,,µS/cm,Water Quality Timeseries,
209,"Downstream, Okhla",,September,,,NO3,0.7,,,mg/L,Water Quality Timeseries,
210,"Downstream, Okhla",,September,,,TOC,71.88,,,mg/L,Water Quality Timeseries,
211,"Downstream, Okhla",,September,,,TSS,88.26,,,mg/L,Water Quality Timeseries,
212,"Downstream, Okhla",,September,,,pH,7.01,,,,Water Quality Timeseries,
213,"Downstream, Okhla",,September,,,Temp,28.04,,,°C,Water Quality Timeseries,
214,"Downstream, Okhla",,September,,,NH4,10.97,,,mg/L,Water Quality Timeseries,
215,"Downstream, Okhla",,September,,,Turbidity,39.74,,,NTU,Water Quality Timeseries,
216,"Downstream, Okhla",,September,,,BOD,21.09,,,mg/L,Water Quality Timeseries,
217,"Downstream, Okhla",,September,,,COD,118.73,,,mg/L,Water Quality Timeseries,
218,"Downstream, Okhla",,October,,,DO,3.15,,,mg/L,Water Quality Timeseries,
219,"Downstream, Okhla",,October,,,Conductivity,826.19,,,µS/cm,Water Quality Timeseries,
220,"Downstream, Okhla",,October,,,NO3,1.24,,,mg/L,Water Quality Timeseries,
221,"Downstream, Okhla",,October,,,TOC,58.69,,,mg/L,Water Quality Timeseries,
222,"Downstream, Okhla",,October,,,TSS,77.69,,,mg/L,Water Quality Timeseries,
223,"Downstream, Okhla",,October,,,pH,7.12,,,,Water Quality Timeseries,
224,"Downstream, Okhla",,October,,,Temp,27.5,,,°C,Water Quality Timeseries,
225,"Downstream, Okhla",,October,,,NH4,8.67,,,mg/L,Water Quality Timeseries,
226,"Downstream, Okhla",,October,,,Turbidity,220.9,,,NTU,Water Quality Timeseries,
227,"Downstream, Okhla",,October,,,BOD,14.42,,,mg/L,Water Quality Timeseries,
228,"Downstream, Okhla",,October,,,COD,110.35,,,mg/L,Water Quality Timeseries,
229,"Downstream, Okhla",,November,,,DO,2.03,,,mg/L,Water Quality Timeseries,
230,"Downstream, Okhla",,November,,,Conductivity,724.62,,,µS/cm,Water Quality Timeseries,
231,"Downstream, Okhla",,November,,,NO3,1.1,,,mg/L,Water Quality Timeseries,
232,"Downstream, Okhla",,November,,,TOC,39.87,,,mg/L,Water Quality Timeseries,
233,"Downstream, Okhla",,November,,,TSS,34.5,,,mg/L,Water Quality Timeseries,
234,"Downstream, Okhla",,November,,,pH,6.16,,,,Water Quality Timeseries,
235,"Downstream, Okhla",,November,,,Temp,20.14,,,°C,Water Quality Timeseries,
236,"Downstream, Okhla",,November,,,NH4,11.05,,,mg/L,Water Quality Timeseries,
237,"Downstream, Okhla",,November,,,Turbidity,18.9,,,NTU,Water Quality Timeseries,
238,"Downstream, Okhla",,November,,,BOD,12.75,,,mg/L,Water Quality Timeseries,
239,"Downstream, Okhla",,November,,,COD,108.57,,,mg/L,Water Quality Timeseries,
240,"Downstream, Okhla",,December,,,DO,2.34,,,mg/L,Water Quality Timeseries,
241,"Downstream, Okhla",,December,,,Conductivity,606.8,,,µS/cm,Water Quality Timeseries,
242,"Downstream, Okhla",,December,,,NO3,1.5,,,mg/L,Water Quality Timeseries,
243,"Downstream, Okhla",,December,,,TOC,61.69,,,mg/L,Water Quality Timeseries,
244,"Downstream, Okhla",,December,,,TSS,75.8,,,mg/L,Water Quality Timeseries,
245,"Downstream, Okhla",,December,,,pH,6.74,,,,Water Quality Timeseries,
246,"Downstream, Okhla",,December,,,Temp,16.86,,,°C,Water Quality Timeseries,
247,"Downstream, Okhla",,December,,,NH4,8.58,,,mg/L,Water Quality Timeseries,
248,"Downstream, Okhla",,December,,,Turbidity,226.01,,,NTU,Water Quality Timeseries,
249,"Downstream, Okhla",,December,,,BOD,18.81,,,mg/L,Water Quality Timeseries,
250,"Downstream, Okhla",,December,,,COD,133.46,,,mg/L,Water Quality Timeseries,
251,"Downstream, Okhla",,January,,,DO,2.43,,,mg/L,Water Quality Timeseries,
252,"Downstream, Okhla",,January,,,Conductivity,548.55,,,µS/cm,Water Quality Timeseries,
253,"Downstream, Okhla",,January,,,NO3,1.05,,,mg/L,Water Quality Timeseries,
254,"Downstream, Okhla",,January,,,TOC,79.48,,,mg/L,Water Quality Timeseries,
255,"Downstream, Okhla",,January,,,TSS,96.8,,,mg/L,Water Quality Timeseries,
256,"Downstream, Okhla",,January,,,pH,6.09,,,,Water Quality Timeseries,
257,"Downstream, Okhla",,January,,,Temp,15.23,,,°C,Water Quality Timeseries,
258,"Downstream, Okhla",,January,,,NH4,8.39,,,mg/L,Water Quality Timeseries,
259,"Downstream, Okhla",,January,,,Turbidity,239.85,,,NTU,Water Quality Timeseries,
260,"Downstream, Okhla",,January,,,BOD,25.98,,,mg/L,Water Quality Timeseries,
261,"Downstream, Okhla",,January,,,COD,182.54,,,mg/L,Water Quality Timeseries,
262,"Downstream, Okhla",,February,,,DO,3.27,,,mg/L,Water Quality Timeseries,
263,"Downstream, Okhla",,February,,,Conductivity,646.79,,,µS/cm,Water Quality Timeseries,
264,"Downstream, Okhla",,February,,,NO3,0.87,,,mg/L,Water Quality Timeseries,
265,"Downstream, Okhla",,February,,,TOC,74.29,,,mg/L,Water Quality Timeseries,
266,"Downstream, Okhla",,February,,,TSS,110.3,,,mg/L,Water Quality Timeseries,
267,"Downstream, Okhla",,February,,,pH,7.18,,,,Water Quality Timeseries,
268,"Downstream, Okhla",,February,,,Temp,17.96,,,°C,Water Quality Timeseries,
269,"Downstream, Okhla",,February,,,NH4,9.87,,,mg/L,Water Quality Timeseries,
270,"Downstream, Okhla",,February,,,Turbidity,0.67,,,NTU,Water Quality Timeseries,
271,"Downstream, Okhla",,February,,,BOD,9.17,,,mg/L,Water Quality Timeseries,
272,"Downstream, Okhla",,February,,,COD,100.56,,,mg/L,Water Quality Timeseries,
