paper_overview.citation,paper_overview.is_review_paper,paper_overview.study_region,temporal_coverage.sampling_dates,temporal_coverage.granularity,temporal_coverage.time_periods,extraction_notes,row_type,site.id,site.description,site.latitude,site.longitude,site.matrix,site.sample_type,site.source_quote,site.source_location,parameter.id,parameter.name,parameter.name_as_reported,parameter.cas_number,parameter.category,parameter.unit_as_reported,data_source.location,data_source.description,data_source.page
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S17,Andrewsganj Delhi,28.55992,77.2311,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S18,Mahatma Gandhi Andrewsganj,28.56495,77.232,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S19,Jangpura Bhogal,28.58622,77.2451,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S20,Jangpura Pant Nagar,28.58683,77.2437,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S21,Devli Sangam Vihar,28.49345,77.226,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S22,"L2-Block, Devli Sangam Vihar",28.48757,77.2299,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S23,Sec-6 Saket (PSRI),28.53117,77.22376,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S24,Sector 5 Pushp Vihar,28.521599,77.225693,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S25,Ambedkar Nagar I,28.515051,77.23494,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S26,Block D Sangam Vihar,28.512055,77.243812,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S27,Sewa Nagar Railcolony,28.578846,77.236281,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
