Sr No.,Location,Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
70,Najafgarh Drain (N15),,,,pre-monsoon,Pb,ND,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
71,Najafgarh Drain (N1),,,,post-monsoon,Pb,ND,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
72,Najafgarh Drain (N15),,,,post-monsoon,Pb,ND,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
73,Najafgarh Drain (N1),,,,pre-monsoon,Fe,0.22,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
74,Najafgarh Drain (N15),,,,pre-monsoon,Fe,5.48,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
75,Najafgarh Drain (N1),,,,post-monsoon,Fe,0.38,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
76,Najafgarh Drain (N15),,,,post-monsoon,Fe,2.9,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
77,Najafgarh Drain (N1),,,,pre-monsoon,Ni,0.02,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
78,Najafgarh Drain (N15),,,,pre-monsoon,Ni,0.19,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
79,Najafgarh Drain (N1),,,,post-monsoon,Ni,ND,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
80,Najafgarh Drain (N15),,,,post-monsoon,Ni,0.15,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
81,Najafgarh Drain (N1),,,,pre-monsoon,Mn,0.06,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
82,Najafgarh Drain (N15),,,,pre-monsoon,Mn,0.47,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
83,Najafgarh Drain (N1),,,,post-monsoon,Mn,0.03,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
84,Najafgarh Drain (N15),,,,post-monsoon,Mn,0.31,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
85,Najafgarh Drain (N1),,,,pre-monsoon,Zn,0.06,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
86,Najafgarh Drain (N15),,,,pre-monsoon,Zn,0.24,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
87,Najafgarh Drain (N1),,,,post-monsoon,Zn,0.18,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
88,Najafgarh Drain (N15),,,,post-monsoon,Zn,0.21,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
89,Najafgarh Drain (N1),,,,pre-monsoon,Cd,ND,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
90,Najafgarh Drain (N15),,,,pre-monsoon,Cd,0.004,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
91,Najafgarh Drain (N1),,,,post-monsoon,Cd,ND,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
92,Najafgarh Drain (N15),,,,post-monsoon,Cd,ND,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
93,Najafgarh Drain (N1),,,,pre-monsoon,Cu,0.01,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
94,Najafgarh Drain (N15),,,,pre-monsoon,Cu,0.1,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
95,Najafgarh Drain (N1),,,,post-monsoon,Cu,0.01,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
96,Najafgarh Drain (N15),,,,post-monsoon,Cu,0.05,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
97,Najafgarh Drain (N1),,,,pre-monsoon,TC,2100,,,MPN/100ml,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
98,Najafgarh Drain (N15),,,,pre-monsoon,TC,930000,,,MPN/100ml,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
99,Najafgarh Drain (N1),,,,post-monsoon,TC,110000,,,MPN/100ml,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
100,Najafgarh Drain (N15),,,,post-monsoon,TC,2400000,,,MPN/100ml,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
