Sr No.,Location(actual name not some legend thing),Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
42,U/S Ranbaxy,,,2020,,pH,7.0-7.6,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
43,U/S Ranbaxy,,,2020,,Dissolved Oxygen,7.1-8.9,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
44,U/S Ranbaxy,,,2020,,Electrical Conductivity,162-605,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
45,U/S Ranbaxy,,,2020,,Biochemical Oxygen Demand,0.4-1.6,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
46,U/S Ranbaxy,,,2020,,Fecal Coliform,10-13,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
47,U/S Ranbaxy,,,2020,,Total Coliform,32-94,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
48,D/S Ranbaxy,,,2020,,Temperature,16-34,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
49,D/S Ranbaxy,,,2020,,pH,7.0-7.6,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
50,D/S Ranbaxy,,,2020,,Dissolved Oxygen,7.0-8.8,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
51,D/S Ranbaxy,,,2020,,Electrical Conductivity,161-2593,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
52,D/S Ranbaxy,,,2020,,Biochemical Oxygen Demand,0.4-1.8,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
53,D/S Ranbaxy,,,2020,,Fecal Coliform,10-33,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
54,D/S Ranbaxy,,,2020,,Total Coliform,33-110,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
55,"Hathnikund, Yamunanagar",,,2020,,Temperature,21-29,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
56,"Hathnikund, Yamunanagar",,,2020,,pH,7.3-8.3,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
57,"Hathnikund, Yamunanagar",,,2020,,Dissolved Oxygen,7.1-8.5,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
58,"Hathnikund, Yamunanagar",,,2020,,Electrical Conductivity,192-620,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
59,"Hathnikund, Yamunanagar",,,2020,,Biochemical Oxygen Demand,2.4-6.6,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
60,"Hathnikund, Yamunanagar",,,2020,,Fecal Coliform,200-3200,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
61,"Hathnikund, Yamunanagar",,,2020,,Total Coliform,1100-21200,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
62,"Kalanaur, Yamunanagar",,,2020,,Temperature,19-29,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
63,"Kalanaur, Yamunanagar",,,2020,,pH,7.2-8.3,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
64,"Kalanaur, Yamunanagar",,,2020,,Dissolved Oxygen,6.8-9.3,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
65,"Kalanaur, Yamunanagar",,,2020,,Electrical Conductivity,197-608,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
66,"Kalanaur, Yamunanagar",,,2020,,Biochemical Oxygen Demand,2.2-5.2,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
67,"Kalanaur, Yamunanagar",,,2020,,Fecal Coliform,200-49000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
68,"Kalanaur, Yamunanagar",,,2020,,Total Coliform,3900-1600000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
69,Magalaura,,,2020,,pH,7.2-8.5,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
70,Magalaura,,,2020,,Dissolved Oxygen,5.2-10.8,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
71,Magalaura,,,2020,,Electrical Conductivity,157-451,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
72,Magalaura,,,2020,,Biochemical Oxygen Demand,BDL-4.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
73,Magalaura,,,2020,,Fecal Coliform,49-7000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
74,Magalaura,,,2020,,Total Coliform,230-35000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
75,"Khojkipur, Panipat",,,2020,,Temperature,21-29,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
76,"Khojkipur, Panipat",,,2020,,pH,6.6-8.4,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
77,"Khojkipur, Panipat",,,2020,,Dissolved Oxygen,5.0-8.4,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
78,"Khojkipur, Panipat",,,2020,,Electrical Conductivity,255-942,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
79,"Khojkipur, Panipat",,,2020,,Biochemical Oxygen Demand,1.4-7.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
80,"Khojkipur, Panipat",,,2020,,Fecal Coliform,90-70000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
81,"Khojkipur, Panipat",,,2020,,Total Coliform,270-278000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
82,Sonepat,,,2020,,Temperature,14-35,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
83,Sonepat,,,2020,,pH,6.5-8.6,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
84,Sonepat,,,2020,,Dissolved Oxygen,7.1-10.6,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
85,Sonepat,,,2020,,Electrical Conductivity,235-683,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
86,Sonepat,,,2020,,Biochemical Oxygen Demand,1.8-5.5,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
87,Sonepat,,,2020,,Fecal Coliform,110-220000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
88,Sonepat,,,2020,,Total Coliform,330-1600000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
89,Palla,,,2020,,Temperature,16-33,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
90,Palla,,,2020,,pH,7.6-9.0,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
91,Palla,,,2020,,Dissolved Oxygen,5.6-17.1,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
92,Palla,,,2020,,Electrical Conductivity,273-789,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
93,Palla,,,2020,,Biochemical Oxygen Demand,1.4-7.9,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
94,Palla,,,2020,,Fecal Coliform,"78-79,000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
95,Palla,,,2020,,Total Coliform,330-350000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
96,Nizamuddin,,,2020,,Temperature,13-31,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
97,Nizamuddin,,,2020,,pH,7.1-7.9,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
98,Nizamuddin,,,2020,,Dissolved Oxygen,BDL-2.4,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
99,Nizamuddin,,,2020,,Electrical Conductivity,460-1641,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
100,Nizamuddin,,,2020,,Biochemical Oxygen Demand,5.6-57.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
101,Nizamuddin,,,2020,,Fecal Coliform,"210,000-11000000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
102,Nizamuddin,,,2020,,Total Coliform,"700,000-28000000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
103,Okhla Bridge (Inlet of Agra Canal),,,2020,,Temperature,15-31,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
104,Okhla Bridge (Inlet of Agra Canal),,,2020,,pH,7.1-7.9,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
105,Okhla Bridge (Inlet of Agra Canal),,,2020,,Dissolved Oxygen,BDL-2.6,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
106,Okhla Bridge (Inlet of Agra Canal),,,2020,,Electrical Conductivity,488-1526,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
107,Okhla Bridge (Inlet of Agra Canal),,,2020,,Biochemical Oxygen Demand,5.6-27.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
108,Okhla Bridge (Inlet of Agra Canal),,,2020,,Fecal Coliform,"78,000-3300000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
109,Okhla Bridge (Inlet of Agra Canal),,,2020,,Total Coliform,"350,000-16000000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
110,Okhla After Meeting of Shahdara Drain,,,2020,,Temperature,15-33,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
111,Okhla After Meeting of Shahdara Drain,,,2020,,pH,7.2-7.8,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
112,Okhla After Meeting of Shahdara Drain,,,2020,,Dissolved Oxygen,BDL-5.6,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
113,Okhla After Meeting of Shahdara Drain,,,2020,,Electrical Conductivity,499-1773,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
114,Okhla After Meeting of Shahdara Drain,,,2020,,Biochemical Oxygen Demand,7.7-114.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
115,Okhla After Meeting of Shahdara Drain,,,2020,,Fecal Coliform,"68,000-7900000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
116,Okhla After Meeting of Shahdara Drain,,,2020,,Total Coliform,"490,000-35000000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
117,Agra Canal at Madanpur Khadar,,,2020,,Temperature,15-31,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
118,Agra Canal at Madanpur Khadar,,,2020,,pH,7.1-7.8,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
119,Agra Canal at Madanpur Khadar,,,2020,,Dissolved Oxygen,BDL-1.4,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
120,Agra Canal at Madanpur Khadar,,,2020,,Electrical Conductivity,573-1541,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
121,Agra Canal at Madanpur Khadar,,,2020,,Biochemical Oxygen Demand,11.4-32,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
122,Agra Canal at Madanpur Khadar,,,2020,,Fecal Coliform,"330,000-4900000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
123,Agra Canal at Madanpur Khadar,,,2020,,Total Coliform,"1,100,000-24000000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
124,Mazawali,,,2020,,Temperature,14,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
125,Mazawali,,,2020,,pH,6.4-8.1,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
126,Mazawali,,,2020,,Dissolved Oxygen,BDL-2.3,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
127,Mazawali,,,2020,,Electrical Conductivity,978-1719,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
128,Mazawali,,,2020,,Biochemical Oxygen Demand,8.7-59.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
129,Mazawali,,,2020,,Fecal Coliform,680-4900000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
130,Mazawali,,,2020,,Total Coliform,3300-9200000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
131,Shahpur,,,2020,,Temperature,14-32,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
132,Shahpur,,,2020,,pH,7.1-7.5,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
133,Shahpur,,,2020,,Dissolved Oxygen,4.6-6.9,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
134,Shahpur,,,2020,,Biochemical Oxygen Demand,5.8-10.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
135,Shahpur,,,2020,,Fecal Coliform,"31,000-85000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
136,Shahpur,,,2020,,Total Coliform,"53,000-110000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
137,"Kesighat, Vrindavan",,,2020,,Temperature,15-32,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
138,"Kesighat, Vrindavan",,,2020,,pH,7.1-7.6,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
139,"Kesighat, Vrindavan",,,2020,,Dissolved Oxygen,4.0-7.6,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
140,"Kesighat, Vrindavan",,,2020,,Biochemical Oxygen Demand,6.0-10.4,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
141,"Kesighat, Vrindavan",,,2020,,Fecal Coliform,"24,000-65000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
142,"Kesighat, Vrindavan",,,2020,,Total Coliform,"46,000-88000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
143,Mathura U/S,,,2020,,Temperature,13,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
144,Mathura U/S,,,2020,,pH,6.5-8.5,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
145,Mathura U/S,,,2020,,Dissolved Oxygen,BDL-4.6,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
146,Mathura U/S,,,2020,,Electrical Conductivity,1096-1816,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
147,Mathura U/S,,,2020,,Biochemical Oxygen Demand,7.3-30.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
148,Mathura U/S,,,2020,,Fecal Coliform,400-920000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
149,Mathura U/S,,,2020,,Total Coliform,1100-9200000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
150,"Vishramghat, Mathura",,,2020,,Temperature,14-32,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
151,"Vishramghat, Mathura",,,2020,,pH,6.9-7.6,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
152,"Vishramghat, Mathura",,,2020,,Dissolved Oxygen,4.1-7.4,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
153,"Vishramghat, Mathura",,,2020,,Biochemical Oxygen Demand,6.8-12.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
154,"Vishramghat, Mathura",,,2020,,Fecal Coliform,"31,000-92000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
155,"Vishramghat, Mathura",,,2020,,Total Coliform,"54,000-140000",,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
156,Mathura D/S,,,2020,,Temperature,12,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
157,Mathura D/S,,,2020,,pH,6.5-8.3,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
158,Mathura D/S,,,2020,,Dissolved Oxygen,1.6-6.8,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
159,Mathura D/S,,,2020,,Electrical Conductivity,1195-1903,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
160,Mathura D/S,,,2020,,Biochemical Oxygen Demand,6.9-21.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
161,Mathura D/S,,,2020,,Fecal Coliform,1700-170000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
162,Mathura D/S,,,2020,,Total Coliform,2200-1400000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
163,Agra U/S,,,2020,,Temperature,12,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
164,Agra U/S,,,2020,,pH,6.5-8.5,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
165,Agra U/S,,,2020,,Dissolved Oxygen,1.4-9.6,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
166,Agra U/S,,,2020,,Electrical Conductivity,1154-1872,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
167,Agra U/S,,,2020,,Biochemical Oxygen Demand,4.7-25.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
168,Agra U/S,,,2020,,Fecal Coliform,220-3300000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
169,Agra U/S,,,2020,,Total Coliform,2200-7900000,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
170,D/S of Agra,,,2020,,pH,6.5-8.7,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
171,D/S of Agra,,,2020,,Dissolved Oxygen,3.8-16.2,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
