Location,Sampling period,Parameter,Value,Unit,Statistic,Sample matrix,Source table,Notes
Agra Canal Midstream (ACMS),Jul,BOD (biochemical oxygen demand),6.6,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Midstream (ACMS),Jul,COD (chemical oxygen demand),28.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Midstream (ACMS),Jul,DO (dissolved oxygen),1.4,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Midstream (ACMS),Jul,TKN (total Kjeldahl nitrogen),10.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Midstream (ACMS),Jul,fecal coliform,500000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Midstream (ACMS),Jul,total coliform,150000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Midstream (ACMS),Jun,AMM (ammonia),8.7,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Midstream (ACMS),Jun,BOD (biochemical oxygen demand),14.3,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Midstream (ACMS),Jun,COD (chemical oxygen demand),50.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Midstream (ACMS),Jun,DO (dissolved oxygen),0.8,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Midstream (ACMS),Jun,TKN (total Kjeldahl nitrogen),14.2,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Midstream (ACMS),Jun,fecal coliform,11000000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Midstream (ACMS),Jun,total coliform,1800000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Midstream (ACMS),Mar,AMM (ammonia),12.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Midstream (ACMS),Mar,BOD (biochemical oxygen demand),16.7,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Midstream (ACMS),Mar,COD (chemical oxygen demand),62.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Midstream (ACMS),Mar,DO (dissolved oxygen),0.2,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Midstream (ACMS),Mar,TKN (total Kjeldahl nitrogen),15.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Midstream (ACMS),Mar,fecal coliform,3500000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Midstream (ACMS),Mar,total coliform,1400000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Midstream (ACMS),May,AMM (ammonia),15.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Midstream (ACMS),May,BOD (biochemical oxygen demand),15.6,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Midstream (ACMS),May,COD (chemical oxygen demand),67.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Midstream (ACMS),May,DO (dissolved oxygen),0.3,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Midstream (ACMS),May,TKN (total Kjeldahl nitrogen),22.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Midstream (ACMS),May,fecal coliform,17000000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Midstream (ACMS),May,total coliform,4500000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Midstream (ACMS),Nov,AMM (ammonia),7.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Midstream (ACMS),Nov,BOD (biochemical oxygen demand),14.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Midstream (ACMS),Nov,COD (chemical oxygen demand),48.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Midstream (ACMS),Nov,DO (dissolved oxygen),0.3,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Midstream (ACMS),Nov,TKN (total Kjeldahl nitrogen),13.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Midstream (ACMS),Nov,fecal coliform,1500000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Midstream (ACMS),Nov,total coliform,3200000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Midstream (ACMS),Oct,AMM (ammonia),8.9,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Midstream (ACMS),Oct,BOD (biochemical oxygen demand),14.2,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Midstream (ACMS),Oct,COD (chemical oxygen demand),49.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Midstream (ACMS),Oct,DO (dissolved oxygen),1.8,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Midstream (ACMS),Oct,TKN (total Kjeldahl nitrogen),12.8,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Midstream (ACMS),Oct,fecal coliform,600000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Midstream (ACMS),Oct,total coliform,350000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Midstream (ACMS),Sep,AMM (ammonia),5.8,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Midstream (ACMS),Sep,BOD (biochemical oxygen demand),9.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Midstream (ACMS),Sep,COD (chemical oxygen demand),32.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Midstream (ACMS),Sep,DO (dissolved oxygen),2.2,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Midstream (ACMS),Sep,TKN (total Kjeldahl nitrogen),9.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Midstream (ACMS),Sep,fecal coliform,700000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Midstream (ACMS),Sep,total coliform,200000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Quarter Stream (ACQS),Apr,AMM (ammonia),15.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Quarter Stream (ACQS),Apr,BOD (biochemical oxygen demand),17.8,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Apr,COD (chemical oxygen demand),63.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Apr,DO (dissolved oxygen),0.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Quarter Stream (ACQS),Apr,TKN (total Kjeldahl nitrogen),21.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Quarter Stream (ACQS),Apr,fecal coliform,1200000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Quarter Stream (ACQS),Apr,total coliform,600000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Quarter Stream (ACQS),Aug,AMM (ammonia),4.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Quarter Stream (ACQS),Aug,BOD (biochemical oxygen demand),6.4,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Aug,COD (chemical oxygen demand),27.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Aug,DO (dissolved oxygen),2.3,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Quarter Stream (ACQS),Aug,TKN (total Kjeldahl nitrogen),8.7,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Quarter Stream (ACQS),Aug,fecal coliform,900000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Quarter Stream (ACQS),Aug,total coliform,300000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Quarter Stream (ACQS),Dec,AMM (ammonia),10.7,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Quarter Stream (ACQS),Dec,BOD (biochemical oxygen demand),13.8,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Dec,COD (chemical oxygen demand),51.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Dec,DO (dissolved oxygen),0.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Quarter Stream (ACQS),Dec,TKN (total Kjeldahl nitrogen),12.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Quarter Stream (ACQS),Dec,fecal coliform,800000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Quarter Stream (ACQS),Dec,total coliform,1200000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Quarter Stream (ACQS),Feb,AMM (ammonia),10.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Quarter Stream (ACQS),Feb,BOD (biochemical oxygen demand),14.8,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Feb,COD (chemical oxygen demand),57.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Feb,DO (dissolved oxygen),0.1,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Quarter Stream (ACQS),Feb,TKN (total Kjeldahl nitrogen),13.6,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Quarter Stream (ACQS),Feb,fecal coliform,900000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Quarter Stream (ACQS),Feb,total coliform,1700000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Quarter Stream (ACQS),Jan,AMM (ammonia),11.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Quarter Stream (ACQS),Jan,BOD (biochemical oxygen demand),18.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Jan,COD (chemical oxygen demand),69.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Jan,DO (dissolved oxygen),0.2,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Quarter Stream (ACQS),Jan,TKN (total Kjeldahl nitrogen),20.2,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Quarter Stream (ACQS),Jan,fecal coliform,1200000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Quarter Stream (ACQS),Jan,total coliform,1400000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Quarter Stream (ACQS),Jul,AMM (ammonia),5.3,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Quarter Stream (ACQS),Jul,BOD (biochemical oxygen demand),7.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Jul,COD (chemical oxygen demand),31.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Jul,DO (dissolved oxygen),1.7,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Quarter Stream (ACQS),Jul,TKN (total Kjeldahl nitrogen),9.8,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Quarter Stream (ACQS),Jul,fecal coliform,300000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Quarter Stream (ACQS),Jul,total coliform,200000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Quarter Stream (ACQS),Jun,AMM (ammonia),8.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Quarter Stream (ACQS),Jun,BOD (biochemical oxygen demand),14.1,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Jun,COD (chemical oxygen demand),46.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Jun,DO (dissolved oxygen),0.7,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Quarter Stream (ACQS),Jun,TKN (total Kjeldahl nitrogen),14.1,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Quarter Stream (ACQS),Jun,fecal coliform,1500000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Quarter Stream (ACQS),Jun,total coliform,2000000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Quarter Stream (ACQS),Mar,AMM (ammonia),13.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Quarter Stream (ACQS),Mar,BOD (biochemical oxygen demand),17.6,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Mar,COD (chemical oxygen demand),59.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Mar,DO (dissolved oxygen),0.1,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Quarter Stream (ACQS),Mar,TKN (total Kjeldahl nitrogen),15.8,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Quarter Stream (ACQS),Mar,fecal coliform,4500000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Quarter Stream (ACQS),Mar,total coliform,1800000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Quarter Stream (ACQS),May,AMM (ammonia),14.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Quarter Stream (ACQS),May,BOD (biochemical oxygen demand),16.6,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Quarter Stream (ACQS),May,COD (chemical oxygen demand),65.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Quarter Stream (ACQS),May,DO (dissolved oxygen),0.2,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Quarter Stream (ACQS),May,TKN (total Kjeldahl nitrogen),21.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Quarter Stream (ACQS),May,fecal coliform,2500000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Quarter Stream (ACQS),May,total coliform,5500000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Quarter Stream (ACQS),Nov,AMM (ammonia),9.8,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Quarter Stream (ACQS),Nov,BOD (biochemical oxygen demand),14.6,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Nov,COD (chemical oxygen demand),49.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Quarter Stream (ACQS),Nov,DO (dissolved oxygen),0.3,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Quarter Stream (ACQS),Nov,TKN (total Kjeldahl nitrogen),16.8,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Quarter Stream (ACQS),Nov,fecal coliform,1200000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Quarter Stream (ACQS),Nov,total coliform,3500000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Quarter Stream (ACQS),Oct,AMM (ammonia),9.8,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
